0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
858.643,319.753,0.861394,940.86,384.485,0.550673,921.293,357.049,0.337901,888.008,368.782,0.488568,844.875,376.641,0.740378,958.531,413.827,0.470442,1005.55,472.62,0.531271,958.516,541.27,0.724308,817.444,474.63,0.671513,801.766,449.121,0.63815,686.173,445.292,0.78195,619.692,554.979,0.758695,835.037,498.132,0.583284,701.903,466.763,0.718576,729.279,523.646,0.549201,866.47,304.078,0.231456,878.223,306.146,0.887648,0.0,0.0,0.0,942.833,319.921,0.853104,680.37,541.182,0.458071,684.273,543.151,0.468119,737.167,523.593,0.365943,566.641,539.208,0.629672,570.533,537.31,0.542237,627.419,570.533,0.578148
860.539,319.766,0.863548,944.75,384.548,0.511724,923.25,357.037,0.305346,888.011,366.885,0.513975,842.948,374.732,0.753279,962.474,415.834,0.428199,997.758,472.675,0.475484,954.598,541.229,0.703832,819.411,474.635,0.656766,803.728,447.255,0.649516,686.223,445.271,0.773855,619.664,554.961,0.760348,837.018,500.093,0.570179,701.914,466.775,0.720274,729.275,527.502,0.375907,868.312,304.101,0.253804,880.157,306.172,0.897341,0.0,0.0,0.0,944.786,321.745,0.858213,682.309,539.291,0.332873,686.209,541.271,0.332813,735.217,525.475,0.252622,566.677,539.206,0.623371,570.558,537.304,0.539133,625.486,568.664,0.553991
860.593,319.758,0.856118,944.756,384.504,0.56503,923.246,357.081,0.361199,887.961,366.842,0.521869,842.938,374.677,0.744764,962.411,413.87,0.482725,997.758,476.527,0.566108,950.642,541.265,0.758772,817.465,476.502,0.66746,801.796,449.138,0.643445,686.208,445.282,0.776168,619.681,554.963,0.762518,833.158,500.096,0.568826,703.83,466.755,0.729985,727.399,527.493,0.373068,868.322,304.126,0.275362,880.173,306.178,0.900227,0.0,0.0,0.0,944.834,321.75,0.869795,682.324,539.204,0.316461,686.193,541.177,0.320775,735.186,525.471,0.265481,566.663,539.19,0.622071,570.547,537.293,0.537739,627.409,568.671,0.56301
862.547,319.768,0.865557,946.758,386.465,0.530944,929.138,355.142,0.317109,887.994,364.841,0.525538,848.773,370.798,0.740189,966.376,417.809,0.397844,997.747,476.596,0.372465,948.768,541.183,0.637734,819.413,476.515,0.674158,803.739,449.151,0.643369,688.139,445.271,0.771918,619.685,554.913,0.746421,835.1,500.08,0.561477,703.827,466.745,0.711579,727.303,529.482,0.254621,868.356,304.131,0.253572,882.05,306.175,0.90897,0.0,0.0,0.0,944.829,319.898,0.870232,684.276,539.284,0.172774,686.168,541.265,0.174501,737.122,523.637,0.176418,568.592,537.303,0.557878,570.602,537.244,0.483217,625.461,568.608,0.522833
862.53,319.764,0.869435,946.719,382.597,0.605449,923.273,353.201,0.372656,888.029,360.949,0.530157,850.781,368.782,0.829229,964.371,413.853,0.506693,1003.6,476.595,0.587597,946.83,541.244,0.747682,821.345,476.538,0.686516,805.674,449.13,0.651073,688.145,447.112,0.764042,619.688,554.886,0.75401,837.042,502.03,0.572021,705.77,464.828,0.702186,729.283,539.273,0.122785,868.344,304.131,0.26649,882.038,306.164,0.908627,0.0,0.0,0.0,944.828,321.708,0.868127,697.961,539.208,0.0509707,0.0,0.0,0.0,0.0,0.0,0.0,566.684,537.322,0.570572,570.557,537.253,0.49166,625.444,566.681,0.522505
862.522,319.753,0.86283,944.817,384.504,0.456082,921.309,355.086,0.285635,891.928,357.067,0.483624,852.767,366.905,0.881236,968.307,417.797,0.33064,997.682,474.605,0.209428,946.795,539.196,0.342497,821.351,476.517,0.667139,805.663,449.149,0.633645,690.101,445.276,0.763797,619.673,554.9,0.749803,837.047,500.079,0.566223,709.688,464.831,0.690991,727.325,541.198,0.121027,868.375,304.081,0.195862,882.042,306.152,0.911758,0.0,0.0,0.0,946.658,321.726,0.868139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.687,537.335,0.555364,570.561,537.271,0.483003,623.542,566.698,0.502324
862.535,319.741,0.858076,946.74,382.449,0.608781,927.191,351.195,0.373002,895.819,353.237,0.548759,854.641,366.81,0.919531,964.419,411.914,0.523567,995.797,476.602,0.652214,940.859,541.179,0.746051,821.354,476.484,0.679182,805.67,449.109,0.650405,697.946,443.224,0.708907,621.571,552.928,0.426636,837.063,498.153,0.592194,695.939,460.889,0.643121,619.656,554.892,0.322877,868.383,302.244,0.185105,882.087,306.147,0.915933,0.0,0.0,0.0,944.828,319.926,0.87162,566.64,537.23,0.532749,570.565,541.221,0.518852,625.487,562.804,0.299568,562.768,535.367,0.222824,572.589,535.306,0.168408,631.291,564.752,0.267263
862.514,319.744,0.866987,948.684,378.576,0.633331,934.997,347.224,0.385182,897.797,353.18,0.593764,854.707,366.801,0.912772,964.386,408.025,0.565608,995.684,478.466,0.745561,931.089,543.176,0.733707,821.331,474.555,0.67046,805.656,447.259,0.656118,693.989,445.251,0.733276,619.656,554.885,0.758441,837.03,496.139,0.595986,711.587,460.927,0.713772,719.517,529.496,0.0502063,868.386,302.237,0.196171,882.108,306.152,0.919785,0.0,0.0,0.0,944.819,319.902,0.877331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.684,537.269,0.565368,570.566,535.354,0.480202,623.514,566.659,0.513228
864.438,317.911,0.865899,948.663,370.817,0.618662,936.943,343.324,0.376308,899.747,353.108,0.613146,854.695,366.773,0.907979,962.467,400.189,0.582532,991.825,478.523,0.743642,917.437,541.303,0.776837,821.379,474.553,0.678199,805.729,449.12,0.667649,692.075,447.166,0.763856,619.686,554.868,0.770366,837.037,494.266,0.598883,713.622,460.929,0.817617,690.11,611.741,0.270515,868.393,302.221,0.18724,882.123,306.138,0.920877,0.0,0.0,0.0,944.838,319.881,0.881568,0.0,0.0,0.0,0.0,0.0,0.0,682.293,621.555,0.108724,566.713,537.325,0.617271,570.606,537.23,0.508413,623.539,566.666,0.565979
864.431,317.903,0.855443,946.807,368.885,0.589423,935.031,347.274,0.370839,897.804,355.091,0.527808,854.713,366.839,0.90822,960.501,394.303,0.569202,987.865,476.576,0.700346,917.33,541.309,0.763357,823.302,476.507,0.662989,807.71,451.132,0.616678,729.272,435.461,0.632313,696.039,539.274,0.215755,837.062,496.169,0.565814,699.896,451.095,0.738632,621.574,554.872,0.709902,868.38,302.205,0.185715,882.119,306.122,0.920158,0.0,0.0,0.0,944.822,319.86,0.879068,568.658,535.332,0.669258,572.595,541.149,0.645258,625.469,568.641,0.523197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
